基金代码,基金简称
001638,前海开源优势蓝筹股票C
000828,宏利转型机遇股票A
013340,创金合信芯片产业股票发起C
005963,宝盈人工智能股票C
021313,景顺长城沪港深精选股票C
012800,宏利转型机遇股票C
007133,嘉实长青竞争优势股票A
018817,景顺长城中小创精选股票C
007134,嘉实长青竞争优势股票C
005268,鹏华优势企业
001496,工银聚焦30股票
164205,天弘文化新兴产业股票A
008286,易方达研究精选股票
015475,天弘文化新兴产业股票C
000513,富国高端制造行业股票A
015145,同泰新能源1年持有股票A
001008,工银国企改革股票
014930,富国高端制造行业股票C
008934,大成科技消费股票A
019824,国寿安保新材料股票发起式A
015146,同泰新能源1年持有股票C
005826,华夏潜龙精选股票
019825,国寿安保新材料股票发起式C
001764,广发沪港深新机遇股票
008935,大成科技消费股票C
000309,大摩品质生活精选股票A
012350,万家元贞量化选股股票A
001009,摩根安全战略股票A
019484,大摩品质生活精选股票C
000793,工银高端制造股票
010361,嘉实品质优选股票A
012351,万家元贞量化选股股票C
015172,摩根安全战略股票C
010362,嘉实品质优选股票C
003145,国联竞争优势
012496,同泰行业优选股票A
012497,同泰行业优选股票C
022003,博道大盘成长股票A
023647,广发科技智选股票发起式A
001482,摩根新兴服务股票A
009988,信澳蓝筹精选股票A
022004,博道大盘成长股票C
010680,华夏新兴成长股票A
023648,广发科技智选股票发起式C
017177,摩根新兴服务股票C
000577,安信价值精选股票A
024168,信澳蓝筹精选股票C
023178,安信价值精选股票C
010681,华夏新兴成长股票C
001409,工银互联网加股票
012835,招商景气精选股票A
004616,中欧电子信息产业沪港深股票A
022292,前海开源优选领航股票A
012836,招商景气精选股票C
000524,摩根民生需求股票A
022293,前海开源优选领航股票C
000960,招商医药健康产业股票
014341,摩根时代睿选股票A
005763,中欧电子信息产业沪港深股票C
000592,建信改革红利股票A
011122,汇添富ESG可持续成长股票A
001677,中银战略新兴产业股票A
011506,建信高端装备股票A
005660,嘉实资源精选股票A
000751,嘉实新兴产业股票
017099,摩根民生需求股票C
014342,摩根时代睿选股票C
016269,建信改革红利股票C
004784,招商稳健优选股票A
010812,中银战略新兴产业股票C
001725,汇添富高端制造股票A
023117,华安高端装备股票发起式A
001707,诺安高端制造股票A
022327,宏利高端装备股票A
011507,建信高端装备股票C
005661,嘉实资源精选股票C
011123,汇添富ESG可持续成长股票C
000756,建信潜力新蓝筹股票A
014536,诺安高端制造股票C
022328,宏利高端装备股票C
019863,招商稳健优选股票C
001849,前海开源强势共识100强股票
023118,华安高端装备股票发起式C
015114,汇添富高端制造股票C
014967,建信潜力新蓝筹股票C
000925,汇添富外延增长股票A
024377,易方达科智量化选股股票发起式A
011424,汇添富外延增长股票C
024378,易方达科智量化选股股票发起式C
014187,华夏量化优选股票A
008261,招商研究优选股票A
010495,创金合信创新驱动股票A
003624,创金合信资源股票发起式A
018971,富国致弘量化选股股票A
014188,华夏量化优选股票C
000594,大摩进取优选股票
008262,招商研究优选股票C
001158,工银新材料新能源股票
003625,创金合信资源股票发起式C
671030,西部利得事件驱动股票A
018972,富国致弘量化选股股票C
001490,汇添富国企创新股票A
010003,景顺长城电子信息产业股票A
010496,创金合信创新驱动股票C
001421,南方量化成长股票A
023532,西部利得事件驱动股票C
005402,广发资源优选股票A
010004,景顺长城电子信息产业股票C
011373,招商前沿医疗保健股票A
015123,汇添富国企创新股票C
001825,建信中国制造2025股票A
001208,诺安低碳经济股票A
010235,广发资源优选股票C
015408,景顺长城成长趋势股票A
013641,博道成长智航股票A
014380,建信中国制造2025股票C
011374,招商前沿医疗保健股票C
010349,诺安低碳经济股票C
004476,景顺长城沪港深领先科技股票A
013642,博道成长智航股票C
004683,建信高端医疗股票A
015409,景顺长城成长趋势股票C
016352,建信高端医疗股票C
023854,景顺长城沪港深领先科技股票C
001938,中欧时代先锋股票A
001028,华安物联网主题股票A
005009,申万菱信行业轮动股票A
011269,中银证券优势制造股票A
005161,华商上游产业股票A
011229,创金合信数字经济主题股票A
016292,华安物联网主题股票C
015157,申万菱信行业轮动股票C
011685,创金合信先进装备股票A
011270,中银证券优势制造股票C
004241,中欧时代先锋股票C
008314,摩根慧选成长股票A
011230,创金合信数字经济主题股票C
018023,华商上游产业股票C
360001,光大量化股票A
000746,招商行业精选股票基金
011686,创金合信先进装备股票C
007479,光大量化股票C
008315,摩根慧选成长股票C
000549,华安大国新经济股票A
013899,摩根全景优势股票A
002952,建信多因子量化股票
014668,银华专精特新量化优选股票发起A
006257,信澳先进智造股票型A
019879,万家周期驱动股票发起式A
014062,景顺长城专精特新量化优选股票A
001605,国富沪港深成长精选股票A
000978,景顺长城量化精选股票A
014669,银华专精特新量化优选股票发起C
013900,摩根全景优势股票C
009863,富国创新趋势股票A
016291,华安大国新经济股票C
020276,银河新材料股票发起式A
019880,万家周期驱动股票发起式C
024169,信澳先进智造股票型C
024153,华安消费机遇股票发起式A
014063,景顺长城专精特新量化优选股票C
017946,国富沪港深成长精选股票C
023853,景顺长城量化精选股票C
206012,鹏华价值精选股票
008854,南方内需增长两年股票A
023129,富国致盛量化选股股票A
000884,民生加银优选股票
024154,华安消费机遇股票发起式C
020748,国联智选先锋股票A
020277,银河新材料股票发起式C
002121,广发沪港深新起点股票A
002334,汇丰晋信大盘波动股票A
008855,南方内需增长两年股票C
023130,富国致盛量化选股股票C
020749,国联智选先锋股票C
001245,工银生态环境股票A
010024,广发沪港深新起点股票C
002335,汇丰晋信大盘波动股票C
023524,广发制造智选股票发起式A
015002,工银生态环境股票C
007831,博道伍佰智航股票A
003053,嘉实文体娱乐股票A
001541,汇添富民营新动力股票
023525,广发制造智选股票发起式C
007832,博道伍佰智航股票C
003054,嘉实文体娱乐股票C
019561,富国致航量化选股股票A
011149,创金合信ESG责任投资股票A
000971,诺安新经济股票A
002595,博时工业4.0主题股票
011645,国泰核心价值两年持有期股票A
001736,圆信永丰优加生活
020698,国泰海通科创板量化选股股票发起A
011882,招商蓝筹精选股票A
019562,富国致航量化选股股票C
011150,创金合信ESG责任投资股票C
005635,博时量化多策略股票A
020699,国泰海通科创板量化选股股票发起C
011646,国泰核心价值两年持有期股票C
001975,景顺长城环保优势股票
008264,南方ESG股票A
005457,景顺长城量化小盘股票A
000711,嘉实医疗保健股票
011883,招商蓝筹精选股票C
009601,招商科技动力3个月滚动持有股票A
004698,博时军工主题股票A
005636,博时量化多策略股票C
006195,国金量化多因子股票A
011425,广发优势成长股票A
000409,鹏华环保产业股票
023855,景顺长城量化小盘股票C
016858,国金量化多因子股票C
008265,南方ESG股票C
011592,博时军工主题股票C
000996,中银新动力股票A
011426,广发优势成长股票C
009602,招商科技动力3个月滚动持有股票C
010128,宝盈发展新动能股票A
001277,博时国企改革股票A
007470,博道叁佰智航股票A
016449,南方新材料股票发起A
007137,鹏扬元合量化大盘A
014453,中银新动力股票C
007130,中庚小盘价值股票
009805,国泰医药健康股票A
014382,博时国企改革股票C
007471,博道叁佰智航股票C
007903,长城量化小盘股票A
016450,南方新材料股票发起C
010129,宝盈发展新动能股票C
001974,景顺长城量化新动力股票A
008618,永赢医药健康A
005927,创金合信新能源汽车股票A
008619,永赢医药健康C
011107,九泰天兴量化智选A
011326,国泰医药健康股票C
002210,创金合信量化多因子股票A
011108,九泰天兴量化智选C
019272,长城量化小盘股票C
007138,鹏扬元合量化大盘C
002871,华夏智胜价值成长A
022164,西部利得央企优选股票A
001705,泓德战略转型股票
001476,中银智能制造股票A
023188,景顺长城量化新动力股票C
002872,华夏智胜价值成长C
009341,易方达均衡成长股票
001637,嘉实量化精选股票
018650,光大国企改革股票C
018728,华夏智胜新锐股票A
000082,嘉实研究阿尔法股票A
024895,泰康资源精选股票发起A
001097,华泰柏瑞积极优选股票A
022165,西部利得央企优选股票C
005928,创金合信新能源汽车股票C
003069,光大创业板量化优选A
009537,太平行业优选股票A
160133,南方天元新产业股票(LOF)
003865,创金合信量化多因子股票C
012181,中银智能制造股票C
024711,中金新锐股票A
018729,华夏智胜新锐股票C
021187,摩根红利优选股票A
000985,嘉实逆向策略股票
001576,国泰智能装备股票A
019306,嘉实研究阿尔法股票C
004686,华夏研究精选股票
009538,太平行业优选股票C
019902,国寿安保先进制造股票发起式A
016283,华泰柏瑞积极优选股票C
001291,大摩量化多策略股票
003070,光大创业板量化优选C
010420,民生加银成长优选股票A
019124,博道红利智航股票A
021316,民生加银智选成长股票A
024712,中金新锐股票C
024896,泰康资源精选股票发起C
540006,汇丰晋信大盘股票A
019505,国泰海通中证1000优选股票发起A
011322,国泰智能装备股票C
015904,广发新能源精选股票A
021188,摩根红利优选股票C
001047,光大国企改革股票A
009043,九泰久信量化股票
024682,民生加银成长优选股票C
019125,博道红利智航股票C
021317,民生加银智选成长股票C
019903,国寿安保先进制造股票发起式C
005960,博时量化价值股票A
020720,国寿安保高端装备股票发起式A
001692,南方国策动力
019243,汇丰晋信大盘股票C
019506,国泰海通中证1000优选股票发起C
012214,民生加银核心资产股票A
501219,华夏智胜先锋股票(LOF)A
010120,九泰久福量化股票A
001718,工银物流产业股票A
015905,广发新能源精选股票C
011224,九泰盈泰量化股票A
009106,嘉合同顺智选股票A
020721,国寿安保高端装备股票发起式C
012215,民生加银核心资产股票C
014198,华夏智胜先锋股票C
010121,九泰久福量化股票C
000955,南方产业活力
015001,工银物流产业股票C
005961,博时量化价值股票C
009557,申万菱信创业板量化精选股票A
021915,博道大盘价值股票A
009658,汇丰晋信中小盘低波动策略股票A
019338,创金合信启富优选股票发起A
023834,广发资源智选股票发起式A
009107,嘉合同顺智选股票C
011225,九泰盈泰量化股票C
014139,易方达高质量增长量化精选股票A
008128,湘财长源股票型A
021570,华夏红利量化选股股票A
519965,长信量化多策略股票A
001163,银华中国梦30股票
010505,申万菱信创业板量化精选股票C
011285,民生价值优选6个月持有股票A
014140,易方达高质量增长量化精选股票C
021916,博道大盘价值股票C
021629,华安红利机遇股票发起式A
023404,海富通致远量化选股股票发起A
019339,创金合信启富优选股票发起C
021049,易方达高股息量化选股股票发起式A
021571,华夏红利量化选股股票C
023835,广发资源智选股票发起式C
008129,湘财长源股票型C
004075,交银医药创新股票A
009775,汇丰晋信中小盘低波动策略股票C
011286,民生价值优选6个月持有股票C
008860,民生加银龙头优选股票A
021630,华安红利机遇股票发起式C
007674,工银产业升级股票A
021050,易方达高股息量化选股股票发起式C
023405,海富通致远量化选股股票发起C
009379,中银成长优选股票A
007388,摩根研究驱动股票A
022344,景顺长城红利量化选股股票A
004858,长信量化多策略股票C
022358,民生加银龙头优选股票C
005802,汇添富智能制造股票A
014046,交银医药创新股票C
011498,富国沪深300基本面精选股票A
003745,广发多元新兴股票
022345,景顺长城红利量化选股股票C
000457,摩根核心成长股票A
014455,中银成长优选股票C
007675,工银产业升级股票C
001528,诺安先进制造股票A
016444,中泰研究精选6个月持有股票A
015196,汇添富智能制造股票C
009398,华富成长企业精选股票A
160919,大成产业升级股票(LOF)A
011836,银华智能建造股票发起式
007389,摩根研究驱动股票C
001054,工银新金融股票A
009550,汇添富开放视野中国优势六个月持有股票A
011499,富国沪深300基本面精选股票C
015170,摩根核心成长股票C
001577,嘉实低价策略股票
019607,诺安先进制造股票C
000866,华宝制造股票
016445,中泰研究精选6个月持有股票C
019206,大成产业升级股票(LOF)C
020487,华富成长企业精选股票C
162208,宏利首选企业股票A
013355,工银新金融股票C
001685,汇添富沪港深新价值股票
001645,国泰大健康股票A
001126,摩根卓越制造股票A
011142,创金合信新材料新能源股票A
017650,中庚港股通价值股票
519975,长信量化中小盘股票A
017289,宏利首选企业股票C
009551,汇添富开放视野中国优势六个月持有股票C
017038,富国中证1000优选股票A
011321,国泰大健康股票C
005303,嘉实医药健康股票A
023752,长信量化中小盘股票C
013465,博时智选量化多因子股票A
011220,南方匠心优选股票A
015075,摩根卓越制造股票C
376510,摩根大盘蓝筹股票A
021167,中泰红利量化选股股票发起A
320020,诺安策略精选股票A
011143,创金合信新材料新能源股票C
020759,建信红利精选股票发起A
167702,德邦量化优选股票(LOF)A
017039,富国中证1000优选股票C
020901,招商成长量化选股股票A
024046,富国致享量化选股股票A
021979,兴全红利量化选股股票A
011384,南方远见回报股票A
167703,德邦量化优选股票(LOF)C
013466,博时智选量化多因子股票C
020760,建信红利精选股票发起C
024270,诺安策略精选股票C
021168,中泰红利量化选股股票发起C
022299,安信周期优选股票型发起A
011221,南方匠心优选股票C
016401,摩根大盘蓝筹股票C
006251,银华兴盛股票A
005304,嘉实医药健康股票C
021983,中信保诚红利领航量化股票A
020902,招商成长量化选股股票C
024047,富国致享量化选股股票C
022300,安信周期优选股票型发起C
021980,兴全红利量化选股股票C
011385,南方远见回报股票C
024395,银华兴盛股票C
015891,富国上证50基本面精选股票发起式A
005259,建信龙头企业股票
004716,中信保诚量化阿尔法股票A
020768,中信保诚国企红利量化选股股票A
000831,工银医疗保健股票
021984,中信保诚红利领航量化股票C
017073,嘉实清洁能源股票发起式A
005968,创金合信工业周期股票A
015641,银华数字经济股票发起式A
011295,中信保诚量化阿尔法股票C
024709,中金精选股票A
015892,富国上证50基本面精选股票发起式C
015642,银华数字经济股票发起式C
020769,中信保诚国企红利量化选股股票C
008736,南方高股息股票A
017074,嘉实清洁能源股票发起式C
024710,中金精选股票C
005662,嘉实金融精选股票A
580008,东吴新产业精选股票A
008283,易方达金融行业股票发起式A
004925,长信低碳环保行业量化股票A
000916,前海开源股息率100强股票A
005969,创金合信工业周期股票C
001044,嘉实新消费股票A
011146,创金合信气候变化责任投资股票A
010892,中银证券精选行业股票A
013151,长信低碳环保行业量化股票C
011470,东吴新产业精选股票C
008085,海富通先进制造股票A
021784,前海开源股息率100强股票C
005663,嘉实金融精选股票C
019026,易方达金融行业股票发起式C
020772,中信建投量化选股股票A
010893,中银证券精选行业股票C
011147,创金合信气候变化责任投资股票C
001917,招商量化精选股票A
018194,建信新材料精选股票发起A
001719,工银国家战略股票
015627,圆信永丰弘阳股票A
008737,南方高股息股票C
023967,嘉实新消费股票C
005189,海富通量化前锋股票A
005267,嘉实价值精选股票A
008084,海富通先进制造股票C
020773,中信建投量化选股股票C
015628,圆信永丰弘阳股票C
003956,南方产业智选股票A
018195,建信新材料精选股票发起C
005188,海富通量化前锋股票C
007950,招商量化精选股票C
008134,鹏华优选价值股票A
019079,国富招瑞优选股票A
022518,南方产业智选股票C
023947,嘉实价值精选股票C
000893,工银创新动力股票
019080,国富招瑞优选股票C
017479,广发医药精选股票A
011236,摩根行业睿选股票A
011824,浙商汇金量化臻选股票A
163110,申万菱信量化小盘股票(LOF)A
020258,鹏华优选价值股票C
017480,广发医药精选股票C
013918,申万菱信量化小盘股票(LOF)C
004403,平安股息精选沪港深A
011237,摩根行业睿选股票C
011825,浙商汇金量化臻选股票C
011077,汇丰晋信创新先锋
000418,景顺长城成长之星股票A
020236,路博迈中国动力股票A
008537,兴银研究精选股票A
001166,建信环保产业股票A
008177,建信高股息主题股票
021503,景顺长城成长之星股票C
010998,博道消费智航A
004404,平安股息精选沪港深C
020682,建信环保产业股票C
020237,路博迈中国动力股票C
008538,兴银研究精选股票C
011793,建信智能汽车股票
000778,鹏华先进制造股票
018695,博道消费智航C
010322,大摩新兴产业股票
024452,博时卓睿成长股票A
001171,工银养老产业股票A
024453,博时卓睿成长股票C
000471,富国城镇发展股票
005669,前海开源公用事业股票
012238,工银养老产业股票C
005037,银华新能源新材料A
000628,大成高鑫股票A
000729,建信中小盘先锋股票A
004997,广发高端制造股票A
005038,银华新能源新材料C
005983,摩根核心精选股票A
011066,大成高鑫股票C
013919,建信中小盘先锋股票C
000696,汇添富环保行业股票
010160,广发高端制造股票C
025068,建信医疗创新股票A
014937,摩根核心精选股票C
011934,中航量化阿尔法六个月持有A
001651,工银新蓝筹股票A
001195,工银农业产业股票
001766,摩根医疗健康股票A
009069,大成睿鑫股票A
025067,建信医疗创新股票C
005894,华夏优势精选股票
000803,工银研究精选股票
160127,南方新兴消费增长股票(LOF)A
009070,大成睿鑫股票C
009126,嘉实基础产业优选股票A
011935,中航量化阿尔法六个月持有C
011476,工银新蓝筹股票C
014932,摩根医疗健康股票C
001790,国泰智能汽车股票A
001542,国泰互联网+股票
001319,农银信息传媒股票A
018240,嘉实制造升级股票发起式A
006138,国联安价值优选股票
011042,国泰价值先锋股票A
009127,嘉实基础产业优选股票C
160144,南方新兴消费增长股票(LOF)C
011323,国泰智能汽车股票C
008871,大成睿裕六月持有股票A
450009,国富中小盘股票A
519193,万家消费成长
006002,工银医药健康股票A
010141,朱雀企业优选A
008923,建信医疗健康行业股票A
018589,农银信息传媒股票C
018241,嘉实制造升级股票发起式C
017824,华安新材料主题股票发起式A
006228,中欧医疗创新股票A
162107,金鹰先进制造股票(LOF)A
017948,国富中小盘股票C
008294,朱雀企业优胜A
008924,建信医疗健康行业股票C
011043,国泰价值先锋股票C
008872,大成睿裕六月持有股票C
017825,华安新材料主题股票发起式C
012930,中庚价值先锋股票
006003,工银医药健康股票C
013479,金鹰先进制造股票(LOF)C
001579,国泰大农业股票A
011601,前海开源公共卫生股票A
010142,朱雀企业优选C
010703,财通智选消费股票A
006229,中欧医疗创新股票C
011602,前海开源公共卫生股票C
008295,朱雀企业优胜C
000326,南方中小盘成长股票A
010704,财通智选消费股票C
001703,银华沪港深增长股票A
015588,国泰大农业股票C
012445,华富新能源股票型发起式A
001178,前海开源再融资股票
320022,诺安研究精选股票A
019717,南方中小盘成长股票C
004350,汇丰晋信价值先锋股票A
005209,东吴双三角股票A
014364,银华沪港深增长股票C
017967,华富新能源股票型发起式C
006923,前海开源沪港深非周期股票A
003834,华夏能源革新股票A
008412,长盛竞争优势A
008107,华商医药医疗行业股票
005210,东吴双三角股票C
006924,前海开源沪港深非周期股票C
001616,嘉实环保低碳股票
015364,汇丰晋信价值先锋股票C
019941,富国洞见价值股票A
002300,长盛医疗量化股票A
011349,淳厚现代服务业股票A
014121,大成品质医疗股票A
001473,建信大安全战略精选股票
013188,华夏能源革新股票C
003984,嘉实新能源新材料股票A
010434,红土创新医疗保健股票A
007287,合煦智远消费主题股票发起式A
008413,长盛竞争优势C
014122,大成品质医疗股票C
004292,鹏华沪深港互联网股票
011350,淳厚现代服务业股票C
018009,长盛医疗量化股票C
019942,富国洞见价值股票C
003985,嘉实新能源新材料股票C
007288,合煦智远消费主题股票发起式C
006106,景顺长城量化港股通股票A
001167,金鹰科技创新股票A
001717,工银前沿医疗股票A
007354,创金合信港股通量化股票A
018861,景顺长城量化港股通股票C
006803,嘉实互通精选股票
005707,富国港股通量化精选股票A
019093,金鹰科技创新股票C
014163,富国港股通量化精选股票C
010685,工银前沿医疗股票C
001223,鹏华文化传媒娱乐股票
001583,安信新常态股票A
002332,汇丰晋信沪港深A
009864,招商景气优选股票A
009147,建信新能源行业股票A
002168,嘉实智能汽车股票
005612,嘉实核心优势股票发起式
007357,创金合信港股通量化股票C
011726,安信新常态股票C
015048,建信新能源行业股票C
002333,汇丰晋信沪港深C
008958,嘉实回报精选股票
001726,汇添富新兴消费股票A
009865,招商景气优选股票C
015194,汇添富新兴消费股票C
001236,博时丝路主题股票A
010112,广发研究精选股票A
010113,广发研究精选股票C
002556,博时丝路主题股票C
015537,红塔红土新能源主题精选股票A
013049,兴业能源革新股票A
018048,申万菱信数字产业股票型发起式A
015538,红塔红土新能源主题精选股票C
009898,民生加银医药健康股票A
001043,工银美丽城镇股票A
018049,申万菱信数字产业股票型发起式C
013050,兴业能源革新股票C
011328,景顺长城新能源产业股票A
011329,景顺长城新能源产业股票C
010469,圆信永丰聚优股票A
014758,民生加银医药健康股票C
011478,工银美丽城镇股票C
009874,九泰久睿量化股票A
004851,广发医疗保健股票A
012360,汇丰晋信港股通核心资产股票发起式A
010470,圆信永丰聚优股票C
009163,广发医疗保健股票C
016725,农银品质农业股票A
005237,银华医疗健康量化优选A
010161,广发瑞安精选股票A
012361,汇丰晋信港股通核心资产股票发起式C
010409,富国消费精选30股票A
000974,安信消费医药股票A
007853,华商计算机行业量化股票发起式A
007548,易方达ESG责任投资股票
016399,九泰久睿量化股票C
016551,诺德策略回报股票A
016726,农银品质农业股票C
005238,银华医疗健康量化优选C
009240,泰康蓝筹优势一年持有股票
012244,广发金融地产精选股票A
012126,宏利新能源股票A
017132,中银新能源产业股票A
017628,华商计算机行业量化股票发起式C
023098,安信消费医药股票C
010162,广发瑞安精选股票C
021605,富国消费精选30股票C
012127,宏利新能源股票C
012245,广发金融地产精选股票C
016552,诺德策略回报股票C
009896,广发港股通成长精选股票A
017133,中银新能源产业股票C
011589,九泰天利量化A
009897,广发港股通成长精选股票C
012045,大成医药健康股票A
011590,九泰天利量化C
010815,农银新兴消费股票
010709,安信医药健康股票A
017931,富达传承6个月股票A
012046,大成医药健康股票C
006692,金信消费升级股票A
003298,嘉实物流产业股票A
006981,中金新医药股票A
010710,安信医药健康股票C
000913,农银医疗保健股票
003299,嘉实物流产业股票C
017932,富达传承6个月股票C
007005,中金新医药股票C
005505,前海开源中药股票A
006693,金信消费升级股票C
008303,宝盈龙头优选股票A
005506,前海开源中药股票C
010592,南方医药创新股票A
519673,银河康乐股票A
008445,融通产业趋势先锋股票
010593,南方医药创新股票C
009017,银华港股通精选股票发起式A
008304,宝盈龙头优选股票C
010196,易方达核心优势股票A
013940,东吴医疗服务股票A
021830,国寿安保农业产业股票发起式A
399011,中海医疗保健主题股票A
016018,银河康乐股票C
020331,红塔红土医药精选股票发起式A
010197,易方达核心优势股票C
013941,东吴医疗服务股票C
004040,金鹰医疗健康产业A
001915,宝盈医疗健康沪港深股票A
014052,银华港股通精选股票发起式C
014376,东吴新能源汽车股票A
019916,富国医药创新股票A
009875,天弘甄选食品饮料股票A
001104,华安新丝路主题股票A
009877,中银内核驱动股票A
020332,红塔红土医药精选股票发起式C
004041,金鹰医疗健康产业C
021831,国寿安保农业产业股票发起式C
017921,中海医疗保健主题股票C
009876,天弘甄选食品饮料股票C
014377,东吴新能源汽车股票C
020437,宝盈医疗健康沪港深股票C
006603,嘉实互融精选股票A
012600,中银内核驱动股票C
519714,交银消费新驱动股票
000854,鹏华养老产业股票
011418,汇添富消费精选两年持有股票A
019917,富国医药创新股票C
540009,汇丰晋信消费红利股票
008075,招商核心优选股票A
000780,鹏华医疗保健股票
013505,华安新丝路主题股票C
540007,汇丰晋信中小盘股票
010387,易方达医药生物股票A
004098,前海开源港股通股息率50强
020232,嘉实互融精选股票C
011419,汇添富消费精选两年持有股票C
010388,易方达医药生物股票C
005106,银华农业产业股票发起式A
001714,工银文体产业股票A
007523,汇添富内需增长股票A
014064,银华农业产业股票发起式C
008076,招商核心优选股票C
010687,工银文体产业股票C
006675,宝盈品牌消费股票A
007524,汇添富内需增长股票C
001230,鹏华医药科技股票A
015052,东方红医疗升级股票发起A
017900,鹏华医药科技股票C
013132,创金合信文娱媒体股票发起A
010341,招商产业精选股票A
006676,宝盈品牌消费股票C
015053,东方红医疗升级股票发起C
009414,中银大健康股票A
001878,嘉实沪港深精选股票
011923,大成消费精选股票A
010204,中银港股通优势成长股票
001628,招商体育文化休闲股票A
010321,中银大健康股票C
013133,创金合信文娱媒体股票发起C
160322,华夏港股通精选股票发起式(LOF)A
013490,同泰金融精选股票A
010342,招商产业精选股票C
003230,创金合信医疗保健股票A
011926,大成消费精选股票C
013491,同泰金融精选股票C
004995,广发品牌消费股票发起式A
004812,中欧先进制造股票A
015395,招商体育文化休闲股票C
012884,华夏港股通精选股票发起式(LOF)C
010245,广发品牌消费股票发起式C
010585,创金合信医药消费股票A
003231,创金合信医疗保健股票C
011722,前海开源深圳特区精选股票A
011723,前海开源深圳特区精选股票C
